Comments,video source,topic,bias of video,bias,reply
"thank honest. best heard fight children, thank courage.",17.0,AL,2,2,0.0
"realize lawabiding citizen criminal criminal record mental health issues, background checks dont far!",6.0,GC,0,1,0.0
republicans want children dead. hate veterans teachers. voting republicans like poisoning,7.0,GC,0,0,0.0
"jesus way truth life... #yes gun control! #end abortion! #human rights climate change... #end corruption, crime, drug cartels terrorism!!",15.0,AL,1,2,0.0
"maintain right, regardless considerations, determine children, children chooses mother. margaret sanger",16.0,AL,2,0,0.0
"sorry, minimum wage causes unemployment poor hurts small businesses.",3.0,AA,1,2,0.0
"do, project. try understand violence create narratives it. uses sel (socialemotional learning) create type ptsd people act irrationally.",10.0,GC,2,2,0.0
@ratman better people countries prefer risk lives live secondclass citizens here... higher problem. country perfect. exceptionalism obsolete. continue lot offer.,,GC,1,1,
"long special admissions anyone, positive action some. asians fairness, pursued special admissions percent black students colleges. legacy, donors, sports admissions? according republicans lawsuit, students admitted merits (grades, sat scores, etc.)? special admissions eliminated, decision is... direct attack blacks?",5.0,AA,0,0,0.0
"@think difficult ah mean fact denied reason state abusing power ok ok understand. country juries go. tends fairer money (at thats image europe american system), lot regulation power money area, state wants dead, highly doubt owning gun help way. mean sleep. state to. disadvantage mayor. 1 weapon mean worst case army. dont thats better weapon^^ anyway, talk defense burglars crimes, doubt gun house existing advantage (you certainly feel like advantage) thought wrong simply crimes country. mean city, theres virtually reason woman shouldnt outside 4 a.m. drunk.",6.0,GC,0,0,1.0
"guy crazy. justice thomas pass legislation. court law. decide cases brought them. second amendment clear. liberals want change constitution, know how. votes it.",8.0,GC,1,2,0.0
abortion straight smiling face big eyes smiling face big eyes smiling face big eyes smiling face big eyes smiling face big eyes,13.0,AL,0,0,0.0
"asians ruin minorities! stop them! otherwise, colleges end diverse ever! stop sign people realize fight implicitly acting interests conservatives antidiversity antimulticulturalism place? people want abolish a.a. benefit majority, is, whites, asians. people dont care you, care themselves.",4.0,AA,0,0,0.0
* begins speech framework intellectual opponents straw man * proceeds use straw man demystify,0.0,AA,2,1,0.0
background checks joke havent committed crime doesnt mean wont one.,6.0,GC,0,1,0.0
illegal gun sales require background checks.,6.0,GC,0,0,1.0
"amazing people talk race extremely important live outside usa, news related racism! america lives 60s",5.0,AA,0,1,0.0
god bless tom.,17.0,AL,2,2,0.0
"@lori killing was. colored slaves played important role development united states (1, 2). countries colonies exploited local population gather land resources order enrich themselves. slavery, racist policies acts befallen african population united states. longer force consequences acts present. redlining, example, african americans denied federal home loans, allowing white families increase wealth leaving blacks poverty. policies abolished, blacks unable buy goods financial means buy (3). reason women children lack sex education result poverty. use asians perfect example minority represent groups ignoring impoverished. that, ignores fact people ideal group come families highly skilled migrants came elimination racist policies. yet, time people try help empower minorities, foul whites discriminated despite fact groups faced constant discrimination whites. be. increasing representation, marginalized people voice allows heard focused. long term, helps improve standard living. blaming current condition acknowledging consequences historical acts oppression. 1) https://sites.google.com/a/uconn.edu/jak13016/ 2)https://www.history.com/news/slaveryprofitablesoutherneconomy 3) https://www.youtube.com/watch?v=o5fbjyqfolm",4.0,AA,0,0,1.0
training ground americas elite come know purpose ivy league schools allow wealthy families send children meet rich children marry money.,4.0,AA,0,0,0.0
"sad little kids know low, happens time. oh wait, is!",7.0,GC,0,0,0.0
professor dysons reaction thomass competition brilliant! right malignant selfhatred black people cause mass destructive views.,5.0,AA,0,0,0.0
"study study proves guns deter crime... want cite studies? aware handful studies kleps studies criticized flaws. example, cdc authorized law collect statistics gun violence, fact concrete data gun deaths injuries, suicides, etc. kleinpp opinion poll gun owners data. opinion polls considered studies scientific sense account, example, false boastful answers. thats 2.5 million crimes averted comes from: owner said prevented 5 crimes year. problem police report filed gun fired blood shed. concrete data crimes averted stand scientific scrutiny. dont label scientific consensus deeply flawed studies conducted researchers, paid gun lobbyists. bad science reports.",11.0,GC,2,0,0.0
"positive action, however, failed. percentage africanamericans ended lifting past discrimination.",4.0,AA,0,2,0.0
"right pregnant, want consequences.",13.0,AL,0,2,1.0
"@greenie problem... natural fact. depend women participate voluntarily reproductive process. wouldnt exist... wouldnt exist mother woman decided carry term. reality life... woman decides live die... denying fundamental fact life disappear. hearts minds, will, souls women convince. taking away right exist way achieve end goal seek... women, women deciding carry pregnancy term. depends them, life there.",13.0,AL,0,0,1.0
abortion murder. gang murderers running around.,15.0,AL,1,2,0.0
video bring america,10.0,GC,2,2,0.0
lol dude said guns allowed white supremacists wanted suppress native americans blacks! omg brainwashing strong woketard rolling floor laughing,8.0,GC,1,2,0.0
"wont matter stupid knowing pronouns, genders, pride march day year ai human race anyway, making redundant.",1.0,AA,2,2,0.0
4 people recently killed guns come from. legal gun owners shot? no. ms13,6.0,GC,0,1,0.0
med intend argument affirmative action?,5.0,AA,0,1,0.0
@nanofuture87 yes distort words buy gun intended militia / military,6.0,GC,0,0,1.0
brother amen!!,16.0,AL,2,2,0.0
"simple logic, youre thief know city armed population training use legislation banning guns, hit?",11.0,GC,2,2,0.0
government shouldnt tell bodies!! suffer vaxxers effects bs.,13.0,AL,0,2,0.0
done!!!,17.0,AL,2,2,0.0
"like... real problem inequality education based public education funded. think corrected better basic place, affirmative action policies. africanamerican raised highcrime city east coast, school wasnt good neighborhood taxpayer income... school, miles invented county border, stronger tax base, funding, better teachers resources, taught better curriculum. kids, smart born parents live (bad) county. feel like thats lot peoples scenario. personal point view: fortunately managed college engineering program graduate, struggled constantly felt discouraged peers school districts stronger foundation education. try excel program trying catch knowledge base. black students came poor school systems extraordinary overcome dynamic fail demanding majors provide wellpaying careers.",3.0,AA,1,1,0.0
"series reallife data, facts, examples showing countless examples guns defensively lawabiding citizens prevent horrific crimes innocent people ignored half population.",11.0,GC,2,2,1.0
flag: united states flag: israel writing hand large new babies lives count heavenly father god given approval. flag: united states flag: israel,15.0,AL,1,2,0.0
debate issue like douglas,0.0,AA,2,2,0.0
jennifer carlson perfect example academic today. incredibly stupid illeducated believe real purpose second amendment. cut police shots blacks reinforce point? called intellectual infantilism and/or religious fanaticism.,,GC,1,2,
"no, not. reaffirms constitutional rights, expand rights all. incidentally, supreme court final arbiter constitution, disagreement decision definition false.",8.0,GC,1,1,0.0
"hopefully, year, scotus kahlifornya case specifically dei great evil beast unconstitutional. level marxist propaganda way university campuses control stopped. equality constitutional, fairness definitely unconstitutional.",2.0,AA,1,2,0.0
believe postnatal abortions comes democrats.,17.0,AL,2,2,0.0
"wouldnt worry gop you, lying coup jumpers going jail. year woman, going witness impressive power possess.",13.0,AL,0,0,0.0
"extremely touching, god bless red heart",17.0,AL,2,2,0.0
"parents knee national anthem. radical right declared war civilization targeted children. honor country. freedom soldiers fought for, life, liberty justice over. ended 1st school shooting defended nra radical right. nra bought republicans, longer free. longer retain blessing freedom, establish justice, promote donestic tranquility. stormed scum, rednecks reprobates encourage murder innocent children.",7.0,GC,0,0,0.0
"affirmative action difficult subject. easy think good idea youre safe job education, imagine youd bitter rejected dream university job straight white male.",4.0,AA,0,1,0.0
"6:10 bothers me.... im black thought benefit id. read reports. minority enough. twofer. check minority box, theyre diverse. want 30% women, 20% minorities, 40% sexual diversity whatever, come people. convert female hit trifecta.",0.0,AA,2,1,0.0
"no, programs rub people wrong way doesnt mean abolished. programs help black people, period? disproportionately blacks, blacks, period.",3.0,AA,1,1,0.0
surely reason shouldnt gender race. sure income levels family poverty.,4.0,AA,0,1,1.0
fbi database outdated dayum stop logo dead,6.0,GC,0,0,0.0
god bless america!,11.0,GC,2,2,0.0
fake background check gun,6.0,GC,0,1,0.0
"judge content character, color skin. affirmative action institutional racism attempts equalize results, regardless character content. commit abomination owe generation asians whites rightful place stolen fairness.",2.0,AA,1,2,0.0
jesus weapon?,,GC,1,2,
"thing came mind documentary, rdr2",,GC,1,1,
"@generic snacks kind punishment qualified competent employee gets raise not. devalues place merit. affirmative action harms whites asian americans devalues education received. affirmative action doesnt help africanamerican minority communities long run, underprepared college level k12 education lacking, is. doesnt help african americans minorities arent college. receive decent education systems repaired. affirmative action attempt help minority populations. affirmative action easier solution doesnt mean right solution. case. right solution fix problem originates k12 education. possible raise time making university admissions based merit socioeconomic needs. able access k12 opportunities, level playing field. positive action perfect example promoting equality results equal opportunities. admit opportunities, especially poorest africanamerican communities, placed, address them, change education communities instead.",4.0,AA,0,1,1.0
makes perfect sense justice jeannie said.,1.0,AA,2,2,0.0
"david, im prochoice agree you. people dont know abortions 12 weeks incredibly rare. 1%. majority abortions place week 69, fact, roe protected abortion 24 weeks (viablilty), doctors refuse preform abortions 12 weeks. think thing exception mark medical abnormalities fetus risk health mother. reading woman desired pregnancy, abortion 3rd trimester (remember incredibly rare) babys brain wasnt developing. brain development occurs 3rd trimester, seen abnormality earlier, baby born brian died shortly birth.",13.0,AL,0,1,1.0
isnt going college based merit presumed evidencebased crime? comparison colleges police?,5.0,AA,0,1,0.0
"think lot black people dismissed hillary actions, didnt realize vote slightest evil. think hillary balanced justice system.",5.0,AA,0,1,0.0
"destroying affirmative action, vilifying stated goals distorts trying address blatant racism discrimination industry hiring practices college university admissions policies. positive action implementation quota illinformed believe. simply required women people colour included pool considered hiring admission. all, more. context egregious policies government intervene insist temporary quota implemented short period time. grew lowincome neighborhood severe social problems (barrio) 87% population latino 12% black maybe 1% white. stable lucrative jobs community tended public sector, is, teachers, police officers firefighters, janitors maintain housing authority, local elementary schools. jobs held white foreigners little connection residents. skilled jobs predominantly white, unskilled labor paid miserable wages latino. crossing tracks, outside barrio, houses maintained obvious configured privilege group other. lives rural california, home fresnos devin nunez bakersfields kevin mccarthy, quickly understands place political arena latinos heard recognized despite growing numbers. tragedy afflicts young people growing poverty fact talented, intelligent, able compete worked include them. whites dont monopoly ability, matter racists think. aptly stated chart, white women benefited affirmative action, poor color. dont want pity white liberals hatred white conservatives. people chance fight, love care given privileged white children fortunate white, black, brown yellow children come lowincome households contribute positively society.",3.0,AA,1,1,0.0
00:34 & wrong.,6.0,GC,0,2,0.0
"prevent killing small living beings, sociopath are, violent me. oh no.",15.0,AL,1,1,1.0
"@winterlinde5395 know gun violence exist? salad word, buzzword jargon created antigun lobby people commit acts violence, regardless tool use. violence violence.",,GC,1,2,
"ridiculous... pout face 100+ years whites privilege ... business, real estate, finance, education, health care, legal, incarceration, representation, liability, etc. face symbols mouth supreme court united states... incompetent shameless... smiling face horns",5.0,AA,0,0,0.0
"harvard stopped racially discriminating candidates, turn 100% white school video suggests 9:00, large number asian students. vox lying people facts easily verified?",4.0,AA,0,2,0.0
"college admissions racially neutral, prejudices specifically blacks. harming period black community. response black community 2024 reflect fact.",2.0,AA,1,0,0.0
great video. thank you.,17.0,AL,2,2,0.0
think murder unconditionally legal?,16.0,AL,2,2,0.0
"possible fiscal monitor, theoretical analysis, missed definitive economic gains colleges achieving policies affirmative action reduce number spaces available colleges, increasing demand prices? rationalize nona.a. candidate spaces exceptionally wealthy, connected, gifted people, resulting elitism prevalent society. live medieval times nobles afford educate children, veil decency conceals contempt.",2.0,AA,1,2,0.0
"allow certain number races minorities. country structured way minorities successful. minorities settle poor neighbors, underfunded schools, lack jobs groceries.",4.0,AA,0,0,0.0
"talk aesthetics talk safety children? mr. noir said better. doesnt matter youre pro 2nd amendment, immediate solution arm schools daycare, period. protect schools debating issue.",10.0,GC,2,2,0.0
constitution...,6.0,GC,0,2,0.0
"weapon, selling it.",,GC,1,1,
hope so. need rid roads dangerous drivers. police dont anymore.,,GC,1,1,
"judge, agree.",1.0,AA,2,2,0.0
"glad survived ordeal. thats feel. government tell body. it! feed him! ill care it! case. clinics hypocrites. shout layoffs. mother, mom. 12th husband claim fair! time crazy things, cringe. abandoned 4 children raised us. wants save babies, care hers. time, hanger abortions. im sorry isnt right place tell story. dont hate beliefs. that, im saying careful. sure dont wrong medication. crazy people world. careful. choice!!",13.0,AL,0,0,0.0
people vote republican elections... deserve,7.0,GC,0,0,0.0
"@misha0619 majority opinion united states... abortion allowed certain point longer allowed... people like common ground, dont realize it...",16.0,AL,2,1,1.0
"rightwing centrist, think fair compromise. meet agree, dont joke basic american freedoms, sure innocent protected. long fair criteria licensing established maintained restrictions. worries right. inch, mile.",6.0,GC,0,1,0.0
"perfect time. warp weft system. leftwing model, wellbeing ordinary people taken account attempts provide them. right content rampant elitism norm gives missing masses. instead, instrumentate disappointment fortunate directing rage lgbt crowd muslims else. anyone, took them; rich.",0.0,AA,2,1,0.0
asians dont value education? guy smoke?,4.0,AA,0,1,0.0
"lie, background check gun california",6.0,GC,0,1,0.0
"hear socalled conservative allies news media? rush, hannity, levin, oreilly, savage, ingraham, tucker, lip service prolife movement. thats it. pathetic!",17.0,AL,2,2,0.0
"mourning democrats oppressors media, new york, criminals, ban change laws. intention help criminals easy law harm citizens.",8.0,GC,1,2,0.0
"@pa dont understand youre saying. california baja california (mexican), resident country living california, undocumented foreigner? saying american citizen loyalty country thinks california state union? im curious. undisclosed compatriots going do? comment mods apparently deleted, said americans recently witnessed coup attempt trumps radicals failed spectacularly. talking about? want overthrow u.s. government? referring suggestion removed, working amend constitution legally? hope talking amending constitution. people disagree strongly issue enemies.",,GC,1,1,
@zord 13 think people respect normal laws like murder problem breaking gun laws face sweat,6.0,GC,0,2,1.0
"oh comment proving australia safer america statistics removed, didnt like prove guns country higher homicide rate relative population. idiot think country guns safe",11.0,GC,2,0,0.0
"@think harder. watched video? problem speed impetus gun sales. takes longer, tend weed people distress family friends opportunity intervene. veteran, like reduction veteran suicides, generally effective veterans use firearms higher rate, communities easier requirements veterans purchase firearms. fact fbis database woefully incomplete, allowing criminals background check system, highlighted. time allows thorough examination. plus, getting credit card lot easier claim. credit card companies predatory profits fees interest. care little actual ability pay balance.",6.0,GC,0,0,1.0
"opinion, police troops come american citizens home guns police troops away destroy guns. second amendment repealed little relevance murderous gun culture americas, lead inexcusable reality.",6.0,GC,0,0,0.0
"ukraine, simply send test results uni numbers instead names. cares race, score counts. assumed wasnt hard usa...",4.0,AA,0,2,0.0
"@free president fascism form government, policy like fascist??? saying dictator propose policy, policy serves state, people??? im loss. 19week monarchy 6week socialist ban?",14.0,AL,1,1,1.0
need criminals streets. law enforcement agencies firearms. dont want it. weapons words mouth. pack wolves prefer.,11.0,GC,2,0,0.0
africanamericans communists,1.0,AA,2,2,0.0
"alive healthy mother went nurses told abort me. got german measles pregnant me. said aborting (1965). mothers love common sense saved life. thanks, mom. heart ribbon",17.0,AL,2,2,0.0
"like study number women committed suicide abortion. guess hard thing study, bet know abortion told soul. crying face",17.0,AL,2,2,0.0
law prevent mass shooting sign up.,6.0,GC,0,2,0.0
"comment, race selfish people care race try harmonious society. yes, ancestors bad. keyword ancestor. no, im rightwing racist trying erase history black slavery, education meritocratic positive action justified, income, education level academic merit extracurricular activity shows offer society race.",4.0,AA,0,1,1.0
"wrong people, wonder united states involved wars.",,GC,1,0,
wonderful testimony. prolife.,17.0,AL,2,2,0.0
"@dpsfrog fetus alive, body way eggs reproductive contents reproductive organs work progress. human like parts products body, human.",16.0,AL,2,0,1.0
believe conservatives. want colledges 70% white. know fuking country,4.0,AA,0,0,0.0
beautiful fourth july abortion ruin it?,16.0,AL,2,0,0.0
"problem simple. courts ruled need licence exercise right. moment it, makes privilege taken away. second amendment protects citizen government so. thats written is. says right people privilege violated (insert reason withdrawing right). laws relating acquisition carrying weapons united states unconstitutional illegal. uncomfortable situation people, law united states. inbetween. require license right.",6.0,GC,0,2,0.0
"@sean matthew king, think misunderstood me, let clear, im black man left, so, believe me, im aware issues affect minorities like me. difference recognizing issues race, gender, lgbtq+ (which do, course) class completely ignoring class status plays role perpetuating issues wealth/influence power. twitter liberals corporate democrats use identity politics (e.g., praising bidens, group warmongers corporate lobbyists) feel good (hence virtuous wokism talk) ignoring politics humiliating left calling out.",3.0,AA,1,0,1.0
hotline supreme court? like know situation border schedule anytime soonâ€”,1.0,AA,2,2,0.0
"youve heard vox said end, youre colored, youre stupid harvard.",4.0,AA,0,2,0.0
"funny, gun shows sells guns federal firearms license holder hands 4473s cell phones!",6.0,GC,0,2,0.0
"ive staunch berniecrat leftist issues, affirmative action racist asians whites. best way end racism colorblind. sense past, affirmative action over. dont appreciate called conservative issue. im disappointed you, vox.",4.0,AA,0,1,0.0
choose body babys body: eye mouth eye,16.0,AL,2,2,0.0
"searched wikipedia 22 states d.c. form private sale background check law, leaves rest states (28) open loophole. article simply titled gun loophole site.",6.0,GC,0,1,1.0
"funny theyre talking assault rifles ice cream record. assault rifles, rifles.",10.0,GC,2,2,0.0
"1.00 fact, makes want friend situation me, academic prospects better native american.",4.0,AA,0,1,0.0
"support affirmative action, believe blacks hispanics need head start compete whites asians colorblind academic meritocracy. need boost, means believe intellectually inferior. malignant selfhatred black people.",5.0,AA,0,2,0.0
"dont understand. holistic examination person effective assessing candidate, include race? holistic assessments people fairer chance relying grades. so, leave skin color mix.",2.0,AA,1,1,0.0
rich saagar complains. redistributive policies outside pandemic response.,3.0,AA,1,2,0.0
oh god. poor children.,7.0,GC,0,0,0.0
slogan choice abortion issue be: child desired child.,12.0,AL,0,0,0.0
"gun owner saying long time need licensing system. countries gun rights licence and, therefore, gun violence. think guvment! means need government involvement, abandoning concept law altogether.",6.0,GC,0,1,0.0
women despicable demons ðŸ«¢,13.0,AL,0,2,0.0
equality diversity,4.0,AA,0,1,1.0
im starting think increase age buy gun 25.,7.0,GC,0,0,0.0
"@bob second amendment isnt thing constitution limits power, check balance. currently 1.4 million military soldiers u.s. military. math numbers, 98.4 million armed citizens united states. longer united army buying means (thank god). however, president exclusively controls military tried overthrow democracy, imagine unify pretty quickly. check. ensures president burnt ash reign managed use military control government. regard dictators listed. started presidentelect. power control army. all, point, tried disarm majority population pretext defending government protecting people. absolute power corrupts absolutely. desire power thing democrats republicans common. way peasants survive buy making sure party powerful completely outgrow other. line defence ensure party president acquire power begin remove checks balances government place, large number reasonably armed citizens. hope consequences catastrophic prevent attempt. 244 years now, deterrence worked allout civil war middle. end day, pretty good track record, comparatively. right enjoy u.s. citizens consequences. wouldnt eager you. cost buying historically extremely expensive, i, one, prefer fellow citizens having pay price buyback. constitutional rights. personally, think best amendment gives citizens rights, 13, 15 19. know 18th amendment later regained rights 21st amendment, norm. usually, lose right, gone long time expensive recover. dont wish leave easily. embraced face flag: united states",6.0,GC,0,2,1.0
"whats wrong republicans imposing views peoples lives?! state officials control privacy people deem undesirable. political them, personal. know extreme 19 atty generals red states want private medical records! whats next?! taking away freedoms rights! violation hipaa. 19 republican ag tn, ky, mo, ar,ga, mi, in, mt,ak, sc, sd, ut, nb, la, tx,... want follow outofstate women seeking abortion reproductive treatment private medical records. want records?! man pretends choking protect unborn child his. look mixed democrats older communist history. far go. republicans abandon babies birth. pays raise babies? man crying? sides woman girl needs abortion. republicans dont care protecting womans children life. radical extreme right puts gas gas, shames women fact women right bodies! lets law 3rd date. republicans want national abortion laws. longer party limited government! attys 19 generals wrote letter biden demanding right seize medical records. permission? bet. shame hospitals doctors hand medical records radical republicans. republicans claim democrats extremist militancy christian nationalism, sowing fear republicans. protect womens rights bodies. ones birth men. dont let men decisions you. prochoice!",17.0,AL,2,0,0.0
abortion crime !!!,17.0,AL,2,2,0.0
"oh, really? exaggerate lot? abortion illegal ireland european countries years ago. quit histrionics.",15.0,AL,1,1,1.0
"video acknowledge problems accompany current affirmative action policies. punishes middleclass whites particular unable acquire necessary scholarships financial aid race. race shouldnt looked comes things like this. offer scholarships financial aid based financial need merit. thats matter. productive limit admissions white asian applicants, limit financial aid race. goals achieved time? better education african americans minorities ensuring people adequate access financial assistance. know one.",4.0,AA,0,1,0.0
"left designing society. realize this, things explained.",0.0,AA,2,2,0.0
live correction: *die* now.,7.0,GC,0,0,0.0
"0:32 absolute misinformation! pass good, enlightened gun laws channels like vox spread nonsense. mention nras help making absurd distinctions sbr shortbarreled shotgun run counter principles nra claims constitution.",6.0,GC,0,1,0.0
positive action useless positive action everyone. lift everyones boat.,3.0,AA,1,1,0.0
argument upper middle class. like excuse bad that. im sure urban schools problem prisonlike schools... laughing loud,10.0,GC,2,2,1.0
conservatives want color blindness good white people.,4.0,AA,0,0,0.0
"know im hated it, generally lean conservative too, im libertarian that, believe women able decide abortion fit, like vaccine.",16.0,AL,2,1,0.0
"lake natron respect opinion, yes, babies precious. 4 weeks, close baby, started develop. abortion later development chain, 4 weeks 5. im trying think girl choice. lets shes 15 school older, married started life. hard believe pregnancy blessing.",16.0,AL,2,1,1.0
"allowing abortion allow mothers terminate offspring age 18, wrong allow abortion.",16.0,AL,2,2,0.0
